status,code,url,note,sources
OK,200,https://aasm.org/resources/pdf/pediatricsleepdurationconsensus.pdf,HEAD,sleep-targets-by-age.md
OK,200,https://www.skincancer.org/,HEAD,sun-and-skin.md
OK,200,https://www.entnet.org/,HEAD,swim-ear-infection-prevention.md
OK,200,https://www.ussoccer.com/playerhealth-and-safety,HEAD,soccer-headgear-data.md
OK,200,https://www.aad.org/public/everyday-care/sun-protection,HEAD,sun-and-skin.md
OK,200,https://www.idsociety.org/practice-guideline/lyme-disease/,HEAD,tick-prevention-lyme-disease.md
OK,200,https://www.informed-sport.com/,HEAD,protein-powder-safety.md
OK,200,https://www.apa.org/,HEAD,post-injury-depression.md
OK,200,https://www.tsa.gov/travel/security-screening/whatcanibring,HEAD,tsa-and-youth-sports-gear.md
OK,200,https://www.stopthebleed.org/,HEAD,stop-the-bleed-basics.md
OK,200,https://www.weather.gov/safety/tornado,HEAD,tornado-severe-weather-protocol.md
OK,200,https://www.ready.gov/tornadoes,HEAD,tornado-severe-weather-protocol.md
OK,200,https://www.cdc.gov/ticks/,HEAD,tick-prevention-lyme-disease.md
OK,200,https://www.airnow.gov/,HEAD,wildfire-smoke-aqi.md
OK,200,https://www.iii.org/article/auto-insurance-basics,HEAD,transporting-other-peoples-kids.md
OK,200,https://www.fifa.com/who-we-are/news/fifa-medical,HEAD,soccer-headgear-data.md
OK,200,https://www.themat.com/,HEAD,wrestling-headgear-skin-infections.md; youth-wrestling-safety-briefing.md
OK,200,https://www.usavolleyball.org/safesport/,HEAD,travel-team-rooming-chaperones.md
OK,200,https://www.childhelp.org/,HEAD,safesport-reporting-walkthrough.md
OK,200,https://www.worldaquatics.com/,HEAD,water-polo-specific-safety.md
OK,200,https://www.usasf.net/,HEAD,youth-cheer-stunt-safety-briefing.md
OK,200,https://nccsir.unc.edu/,HEAD,youth-cheer-stunt-safety-briefing.md
OK,200,https://www.cdc.gov/mrsa/,HEAD,wrestling-headgear-skin-infections.md
OK,200,https://www.usasoftball.com/,HEAD,youth-softball-safety-briefing.md
OK,200,https://usavolleyball.org/safesport/,HEAD,youth-volleyball-safety-briefing.md
OK,200,https://usagym.org/safety/,HEAD,youth-gymnastics-safety-briefing.md
OK,200,https://parents.snapchat.com/,HEAD,snapchat-snap-map-risks.md
OK,200,https://www.fifa.com/who-we-are/news/fifa-medical-fifa-11-injury-prevention-programme,HEAD,youth-soccer-safety-briefing.md
OK,200,https://www.ussoccer.com/playerhealth-and-safety/concussion-initiatives,HEAD,youth-soccer-safety-briefing.md
OK,200,https://www.mlb.com/pitch-smart,HEAD,youth-baseball-safety-briefing.md; youth-pitcher-arm-care.md
OK,200,https://www.usab.com/youth/,HEAD,youth-basketball-safety-briefing.md
OK,200,https://www.littleleague.org/playing-rules/pitch-count/,HEAD,youth-pitcher-arm-care.md
OK,200,https://www.nwcaonline.com/,HEAD,youth-wrestling-safety-briefing.md
OK,200,https://www.hecc.net/,HEAD,hockey-equipment-safety.md; youth-hockey-safety-briefing.md
OK,200,https://www.usawaterpolo.org/safety,HEAD,water-polo-specific-safety.md
OK,200,https://www.usacheer.org/,HEAD,youth-cheer-stunt-safety-briefing.md
OK,200,https://asmi.org/,HEAD,youth-pitcher-arm-care.md
OK,200,https://www.littleleague.org/play-little-league/softball/,HEAD,youth-softball-safety-briefing.md
OK,200,https://www.usalacrosse.com/safety,HEAD,youth-lacrosse-boys-safety-briefing.md; youth-lacrosse-girls-safety-briefing.md
